epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,4069.22,1.02046,1.01024,1.29654,0.63752,0.53784,0.55445,0.34056,1.50106,1.54971,1.59089,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
44,4163.27,1.01461,0.99473,1.2958,0.65805,0.53635,0.5629,0.34799,1.50902,1.5292,1.60556,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
45,4257.41,0.99905,0.97077,1.2848,0.69002,0.51928,0.56119,0.34336,1.51881,1.51254,1.60985,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
46,4351.32,0.98959,0.96009,1.27613,0.66078,0.52515,0.56404,0.3465,1.51305,1.53852,1.60421,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
47,4445.36,0.98869,0.95742,1.2739,0.66062,0.53949,0.56941,0.34899,1.52913,1.50322,1.61926,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
48,4539.42,0.98478,0.94445,1.27156,0.63515,0.54084,0.56621,0.35035,1.51703,1.5155,1.6057,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
49,4633.41,0.96304,0.92327,1.26028,0.67418,0.5216,0.55968,0.35012,1.52176,1.52855,1.61478,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
50,4727.52,0.9565,0.90553,1.25172,0.68698,0.52943,0.56173,0.34991,1.50954,1.51058,1.62055,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
51,4821.52,0.9479,0.901,1.24328,0.66796,0.53532,0.56623,0.35188,1.52471,1.5119,1.63803,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
52,4915.52,0.93431,0.88363,1.23773,0.66078,0.53985,0.55853,0.35,1.52006,1.52559,1.62386,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
53,5009.41,0.9251,0.86219,1.22856,0.65578,0.54742,0.56594,0.35335,1.50592,1.54077,1.61895,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
54,5103.21,0.9201,0.85263,1.22184,0.65976,0.52618,0.55331,0.34762,1.51202,1.54021,1.61897,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
55,5197.31,0.90643,0.83026,1.21396,0.65535,0.53043,0.55941,0.35238,1.52061,1.53799,1.63165,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
56,5291.15,0.89671,0.83542,1.20883,0.69959,0.52428,0.56223,0.3465,1.52674,1.53446,1.64429,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
57,5384.93,0.88975,0.82343,1.20671,0.67103,0.5373,0.55798,0.3481,1.50198,1.52387,1.62181,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
58,5478.72,0.87693,0.80442,1.1967,0.64996,0.54833,0.55269,0.34495,1.51823,1.54809,1.64958,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
59,5572.73,0.86435,0.7888,1.1922,0.69551,0.54028,0.56124,0.34876,1.52622,1.53533,1.65388,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
60,5666.7,0.85629,0.78414,1.18244,0.65463,0.55172,0.55384,0.34426,1.52664,1.55124,1.65435,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
61,5760.68,0.85406,0.77111,1.17838,0.6726,0.52056,0.54967,0.34522,1.51916,1.58514,1.65457,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
62,5854.65,0.83674,0.75489,1.16905,0.66217,0.54566,0.5514,0.34705,1.51663,1.56773,1.659,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
63,5948.49,0.83282,0.74379,1.16954,0.6519,0.5522,0.551,0.34973,1.51808,1.57325,1.66099,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
64,6042.37,0.82109,0.73243,1.15852,0.65136,0.53807,0.5488,0.34855,1.52039,1.57128,1.66427,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
65,6136.31,0.80698,0.71669,1.14879,0.63133,0.56071,0.55251,0.35014,1.5173,1.55832,1.66488,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
66,6234.23,0.86483,0.6166,1.12001,0.66546,0.53188,0.55623,0.3527,1.52044,1.55841,1.67935,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
67,6329.24,0.83155,0.57042,1.10189,0.68661,0.52157,0.54857,0.35033,1.51003,1.5655,1.67074,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
68,6424.26,0.82363,0.56758,1.09265,0.66151,0.53587,0.5463,0.34869,1.51799,1.55357,1.68388,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
69,6519.61,0.80955,0.54842,1.08359,0.65471,0.53846,0.55017,0.35045,1.51673,1.55614,1.69208,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
70,6614.77,0.79675,0.53434,1.0759,0.64425,0.54821,0.55279,0.35199,1.51093,1.56256,1.69261,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
71,6710.16,0.77494,0.51834,1.05724,0.66498,0.5274,0.54929,0.35068,1.51449,1.57579,1.70332,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
72,105.439,0.79744,0.71677,1.14994,0.66845,0.53072,0.55502,0.3538,1.50422,1.57302,1.68591,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
73,200.952,0.76888,0.68409,1.13082,0.63474,0.56459,0.55622,0.35348,1.50713,1.58765,1.68719,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
74,297.046,0.7548,0.66886,1.11891,0.63341,0.56337,0.55738,0.3529,1.50897,1.59218,1.68792,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
75,392.663,0.7582,0.66914,1.12407,0.67505,0.53452,0.55722,0.35235,1.51222,1.59224,1.69341,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
